"Fecha","Ventas (S/.)","Unidades"
2018-01-01 00:00:00,"5,500.2","4,584"
2018-02-01 00:00:00,"2,535.6","2,113"
2018-03-01 00:00:00,"4,269.8","3,558"
2018-03-31 23:00:00,"3,025","2,520"
2018-04-30 23:00:00,"4,045.7","3,371"
2018-05-31 23:00:00,"4,001.2","3,334"
2018-06-30 23:00:00,"8,030.6","6,692"
2018-07-31 23:00:00,"5,040.9","4,200"
2018-08-31 23:00:00,"3,012.2","2,510"
2018-09-30 23:00:00,"6,780.8","5,650"
2018-10-31 23:00:00,"8,702","7,251"
2018-12-01 00:00:00,"10,230.4","8,525"
2019-01-01 00:00:00,"3,520","2,933"
2019-02-01 00:00:00,"2,805.8","2,337"
2019-03-01 00:00:00,"1,230.6","1,025"
2019-03-31 23:00:00,"4,620.2","3,850"
2019-04-30 23:00:00,"6,835.4","5,696"
2019-05-31 23:00:00,"7,050.8","5,875"
2019-06-30 23:00:00,"12,910.4","10,758"
2019-07-31 23:00:00,"5,500.8","4,584"
2019-08-31 23:00:00,"4,165.4","3,471"
2019-09-30 23:00:00,"7,200.1","6,000"
2019-10-31 23:00:00,"9,150.2","7,625"
2019-12-01 00:00:00,"18,302.4","15,251"
2020-01-01 00:00:00,"3,550","2,958"
2020-02-01 00:00:00,"2,049","1,707"
2020-03-01 00:00:00,676.5,451
2020-03-31 23:00:00,60,40
2020-04-30 23:00:00,230.8,153
2020-05-31 23:00:00,330.5,220
2020-06-30 23:00:00,800.2,533
2020-07-31 23:00:00,350.5,233